tatort	tatort_cleaned	tatort_coding	lat	lon
Abteistraße 11a	Abteistraße 11a	Abteistraße 11a, Moers, Deutschland	51.44878	6.6299
Abteistraße ggü. Haus-Nr. 16	Abteistraße 16	Abteistraße 16, Moers, Deutschland	51.44878	6.6299
Abteistraße ggü. Haus-Nr. 20	Abteistraße 20	Abteistraße 20, Moers, Deutschland	51.44874	6.63019
Abteistraße ggü. Haus-Nr. 22	Abteistraße 22	Abteistraße 22, Moers, Deutschland	51.44869	6.63056
Abteistraße ggü. Haus-Nr. 6	Abteistraße 6	Abteistraße 6, Moers, Deutschland	51.44878	6.62913
Abteistraße ggü. Haus-Nr. 6, Schräg	Abteistraße 6	Abteistraße 6, Moers, Deutschland	51.44878	6.62913
Abteistraße ggü. Haus-Nr. 9	Abteistraße 9	Abteistraße 9, Moers, Deutschland	51.44878	6.6299
Abteistraße ggü. Haus-Nr. schräg, 6	Abteistraße 6	Abteistraße 6, Moers, Deutschland	51.44878	6.62913
Abteistraße ggü. Haus-Nr., Ecke Südring	Abteistraße, Ecke Südring	Abteistraße, Ecke Südring, Moers, Deutschland	51.44878	6.6299
Abteistraße ggü. Haus-Nr., Ecke Südring 14	Abteistraße, Ecke Südring 14	Abteistraße, Ecke Südring 14, Moers, Deutschland	51.44875	6.6286
Abteistraße ggü. Haus-Nr., Südring 14	Abteistraße, Südring 14	Abteistraße, Südring 14, Moers, Deutschland	51.44875	6.6286
Abteistraße in Höhe von Haus-Nr. 19	Abteistraße 19	Abteistraße 19, Moers, Deutschland	51.44893	6.62924
Abteistraße in Höhe von Haus-Nr. 20	Abteistraße 20	Abteistraße 20, Moers, Deutschland	51.44874	6.63019
Abteistraße in Höhe von Haus-Nr. 22	Abteistraße 22	Abteistraße 22, Moers, Deutschland	51.44869	6.63056
Abteistraße in Höhe von Haus-Nr., Ecke Uerdinger Str.	Abteistraße, Ecke Uerdinger Str.	Abteistraße, Ecke Uerdinger Str., Moers, Deutschland	51.44878	6.6299
Abteistraße, Ecke Südring	Abteistraße, Ecke Südring	Abteistraße, Ecke Südring, Moers, Deutschland	51.44878	6.6299
Abteistraße, Ecke Uerdinger Str.	Abteistraße, Ecke Uerdinger Str.	Abteistraße, Ecke Uerdinger Str., Moers, Deutschland	51.44878	6.6299
