Tattag;Tatzeit/Uhrzeit;Tatort 2;Tbnr1; Geldbuße 
02.01.2015;1825;Friedrich-Ebert-Straße ggü. Haus-Nr. 7b;141312; 15,00 € 
02.01.2015;1702;Joachimstraße 2;112042; 15,00 € 
02.01.2015;1836;Kaldenhausener Straße, Autobahnbrücke Südseite;141314; 25,00 € 
02.01.2015;1845;Bergheideweg 2;142103; 10,00 € 
02.01.2015;1957;Lintforter Straße, Ecke Am Jundbornpark 236a;112402; 20,00 € 
02.01.2015;1559;An der Sandkull 78, Gegen Poller;112103; 25,00 € 
02.01.2015;1658;Homberger Straße / C1 336;141112; 20,00 € 
02.01.2015;1709;Hom 173c;142262; 10,00 € 
02.01.2015;1713;Homberger Straße / C1 173c;112398; 20,00 € 
02.01.2015;1730;Fieselstraße 34;141312; 15,00 € 
02.01.2015;1732;Fieselstraße 34;141312; 15,00 € 
02.01.2015;1736;Niederstraße 28;141312; 15,00 € 
02.01.2015;1740;Neustraße 35;141106; 30,00 € 
02.01.2015;1746;Neustraße 35;141106; 30,00 € 
02.01.2015;1827;Marienstraße ggü. Haus-Nr. 1;112403; 30,00 € 
02.01.2015;1820;Bahnhofstraße 25, Continentale;141245; 25,00 € 
02.01.2015;1230;Markt;141315; 35,00 € 
03.01.2015;1905;Lintforter Straße 114c, Basista;141413; 15,00 € 
03.01.2015;2220;Römerstraße 491;112396; 30,00 € 
03.01.2015;1927;Carlo-Schmid-Straße hinter Haus-Nr. 59;141312; 15,00 € 
03.01.2015;1931;Rathausallee, Am Viegenhof 16;141112; 20,00 € 
03.01.2015;1937;Friedenstraße ggü. Haus-Nr. 39, Wendehammer;141312; 15,00 € 
03.01.2015;1951;Homberger Straße / C1 75;142278; 35,00 € 
03.01.2015;2147;Homberger Straße / C1 75;142278; 35,00 € 
03.01.2015;1955;Homberger Straße / C1 75;142278; 35,00 € 
03.01.2015;2002;Mittelstraße / C1 in Höhe von Haus-Nr. 2;112216; 35,00 € 
03.01.2015;2028;Essenberger Straße / C1 2g;142273; 30,00 € 
03.01.2015;2033;Essenberger Straße / C1 1h;142272; 20,00 € 
03.01.2015;2219;Rheinhausener Straße ggü. Haus-Nr. 56;112397; 30,00 € 
03.01.2015;2051;Homberger Straße / C1 171;141112; 20,00 € 
03.01.2015;2053;Homberger Straße / C1 169;141112; 20,00 € 
03.01.2015;2057;Römerstraße 497, Hinter Übergang;141312; 15,00 € 
03.01.2015;2107;Homberger Straße / C1 393;112042; 15,00 € 
03.01.2015;2109;Homberger Straße / C1 410;141112; 20,00 € 
03.01.2015;2144;Homberger Straße / C1 105a;112402; 20,00 € 
03.01.2015;2149;Homberger Straße / C1 58;141106; 30,00 € 
03.01.2015;2152;Homberger Straße / C1 56;141106; 30,00 € 
03.01.2015;2154;Homberger Straße / C1 36a;141106; 30,00 € 
03.01.2015;2156;Homberger Straße / C1 32;141106; 30,00 € 
03.01.2015;2158;Homberger Straße / C1 30;141106; 30,00 € 
03.01.2015;2201;Homberger Straße / C1 13;141106; 30,00 € 
03.01.2015;2046;Rheinhausener Straße ggü. Haus-Nr. 67a;112042; 15,00 € 
03.01.2015;1939;Friedenstraße ggü. Haus-Nr. 39, Wendehammer;141312; 15,00 € 
03.01.2015;1910;An der Sandkull 78, Gegen Poller;112103; 25,00 € 
04.01.2015;1140;Saarbrücker Straße;112402; 20,00 € 
05.01.2015;1527;Essenberger Straße / C1, Parkplatz;113120; 10,00 € 
05.01.2015;1601;Moselstraße, Ecke Eupener Str.;112272; 10,00 € 
05.01.2015;1021;Neumarkt / A, Parkplatz;113140; 10,00 € 
05.01.2015;1349;Asberger Straße / C3 in Höhe von Haus-Nr. 12;113140; 10,00 € 
05.01.2015;1350;Asberger Straße / C3 in Höhe von Haus-Nr. 12;113140; 10,00 € 
05.01.2015;1351;Asberger Straße / C3 in Höhe von Haus-Nr. 10;113140; 10,00 € 
05.01.2015;1352;Asberger Straße / C3 ggü. Haus-Nr. 8;141312; 15,00 € 
05.01.2015;1354;Asberger Straße / C3 ggü. Haus-Nr. 8;141312; 15,00 € 
05.01.2015;914;Unterwallstraße in Höhe von Haus-Nr. 9;141100; 20,00 € 
05.01.2015;919;Neumarkt / A, Parkplatz;142262; 10,00 € 
05.01.2015;921;Neumarkt / A, Parkplatz;113120; 10,00 € 
05.01.2015;922;Neumarkt / A, Parkplatz;113120; 10,00 € 
05.01.2015;925;Neumarkt / A, Parkplatz;113120; 10,00 € 
05.01.2015;927;Neumarkt / A, Parkplatz;113140; 10,00 € 
05.01.2015;949;Neuer Wall in Höhe von Haus-Nr. 12;141402; 10,00 € 
05.01.2015;1029;Abteistraße ggü. Haus-Nr. 22;113240; 10,00 € 
05.01.2015;1035;Abteistraße ggü. Haus-Nr. 6;113260; 10,00 € 
05.01.2015;1458;Hanckwitzstraße / B, Parkplatz;113144; 30,00 € 
05.01.2015;1042;Hanckwitzstraße / B, Parkplatz;113140; 10,00 € 
05.01.2015;1048;Haagstraße / B ggü. Haus-Nr. 32;142278; 35,00 € 
05.01.2015;1051;Neumarkt / A, Ppl -Einfahrt;141245; 25,00 € 
05.01.2015;1122;Nordring / C2 in Höhe von Haus-Nr. 1;141412; 10,00 € 
05.01.2015;1124;Nordring / C2 in Höhe von Haus-Nr. 1;141412; 10,00 € 
05.01.2015;1134;Baerler Straße in Höhe von Haus-Nr. 8;113260; 10,00 € 
05.01.2015;1135;Baerler Straße in Höhe von Haus-Nr. 10;113240; 10,00 € 
05.01.2015;1138;Baerler Straße ggü. Haus-Nr. 11;113240; 10,00 € 
05.01.2015;1140;Baerler Straße in Höhe von Haus-Nr. 14;113240; 10,00 € 
05.01.2015;1141;Baerler Straße in Höhe von Haus-Nr. 11;141100; 20,00 € 
05.01.2015;1143;Baerler Straße in Höhe von Haus-Nr. 14;113240; 10,00 € 
05.01.2015;1250;Baerler Straße in Höhe von Haus-Nr. 16;113262; 20,00 € 
05.01.2015;1246;Baerler Straße in Höhe von Haus-Nr. 54;113241; 15,00 € 
05.01.2015;1245;Baerler Straße in Höhe von Haus-Nr. 58;113241; 15,00 € 
05.01.2015;1252;Seminarstraße ggü. Haus-Nr. 41;113240; 10,00 € 
05.01.2015;1348;Neumarkt / A, Parkplatz;113120; 10,00 € 
05.01.2015;1350;Neumarkt / A, Parkplatz;113140; 10,00 € 
05.01.2015;1353;Neumarkt / A, Parkplatz;113140; 10,00 € 
05.01.2015;1358;Haagstraße / B ggü. Haus-Nr. 30;142278; 35,00 € 
05.01.2015;1413;Haagstraße / B in Höhe von Haus-Nr. 1;112402; 20,00 € 
05.01.2015;1418;Südring ggü. Haus-Nr. 14;113240; 10,00 € 
05.01.2015;1423;Filder Straße in Höhe von Haus-Nr. 10;329113; 20,00 € 
05.01.2015;1426;Filder Straße in Höhe von Haus-Nr. 22;113240; 10,00 € 
05.01.2015;1431;Blumenstraße in Höhe von Haus-Nr. 3;113240; 10,00 € 
05.01.2015;1433;Blumenstraße in Höhe von Haus-Nr. 9;113240; 10,00 € 
05.01.2015;1444;Gartenstraße ggü. Haus-Nr. 24;113260; 10,00 € 
05.01.2015;1454;Hanckwitzstraße / B, Parkplatz;113124; 30,00 € 
05.01.2015;1459;Hanckwitzstraße / B, Parkplatz;113140; 10,00 € 
05.01.2015;1502;Haagstraße / B in Höhe von Haus-Nr. 18;112402; 20,00 € 
05.01.2015;1508;Neumarkt / A, Parkplatz;113121; 15,00 € 
05.01.2015;1510;Neumarkt / A, Parkplatz;113121; 15,00 € 
05.01.2015;1517;Neumarkt / A, Parkplatz;113122; 20,00 € 
05.01.2015;1519;Neumarkt / A, Parkplatz;113120; 10,00 € 
05.01.2015;1522;Neumarkt / A, Parkplatz;142262; 10,00 € 
